,estado,pib,codigo,area,população,idh,receita,despesa,estado_ibge,ano,quantidade,valor_em_reais,sk_order
0,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2003,4,254300.0,1
1,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2004,11,394799.48,2
2,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2005,12,249039.11,3
3,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2006,7,177412.02,4
4,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2007,19,446508.0,5
5,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2008,10,1370330.0,6
6,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2009,5,562722.0,7
7,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2010,7,867498.0,8
8,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2011,5,500000.0,9
9,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2012,8,1000000.0,10
10,RO,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168,11,2013,9,1280807.0,11
12,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2004,3,112041.19,13
13,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2005,2,1113391.72,14
14,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2006,8,1089745.25,15
15,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2007,4,593448.29,16
16,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2008,7,655904.5,17
17,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2009,4,25000.0,18
18,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2010,3,60000.0,19
19,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2011,2,90000.0,20
20,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2012,4,304374.82,21
21,AC,13751126,12,164123738,869265,663,6632883.10836,6084416.8063,12,2013,4,43931.46,22
22,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2003,6,300000.0,23
23,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2004,11,3400000.0,24
24,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2005,19,738033.73,25
25,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2006,19,1592331.11,26
26,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2007,15,1826968.88,27
27,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2008,24,750193.86,28
28,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2009,14,714888.46,29
29,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2010,20,3411898.19,30
30,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2011,18,2133152.55,31
31,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2012,17,1451747.24,32
32,AM,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705,13,2013,15,2720974.28,33
33,RR,11011454,14,224273831,576568,707,4419450.41557,3384683.73914,14,2003,1,30000.0,34
36,RR,11011454,14,224273831,576568,707,4419450.41557,3384683.73914,14,2006,1,25000.0,37
37,RR,11011454,14,224273831,576568,707,4419450.41557,3384683.73914,14,2007,1,95000.0,38
40,RR,11011454,14,224273831,576568,707,4419450.41557,3384683.73914,14,2008,3,92500.0,41
41,RR,11011454,14,224273831,576568,707,4419450.41557,3384683.73914,14,2012,1,110000.0,42
42,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2003,23,5842618.0,43
43,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2004,33,5224465.71,44
44,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2005,42,2137889.54,45
45,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2006,40,3000033.33,46
46,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2007,38,3713560.37,47
47,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2008,42,1410040.9,48
48,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2009,33,4149645.33,49
49,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2010,50,22526871.89,50
50,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2011,33,5689654.67,51
51,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2012,39,5872158.68,52
52,PA,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547,15,2013,37,2073342.82,53
56,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,16,2006,2,20000.0,57
57,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,16,2007,4,160000.0,58
58,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,16,2008,5,611927.2,59
59,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,16,2009,1,142410.8,60
61,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,16,2011,4,20000.0,62
62,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,16,2012,5,90000.0,63
63,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2003,5,81220.0,64
64,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2004,17,696593.88,65
65,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2005,16,302000.0,66
66,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2006,15,534425.0,67
67,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2007,16,1266001.74,68
68,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2008,8,355858.89,69
71,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2011,8,74378.0,72
72,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2012,5,366972.5,73
73,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,17,2013,4,271753.93,74
74,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2003,31,893896.0,75
75,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2004,33,825104.5,76
76,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2005,59,4775917.45,77
77,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2007,37,3754528.93,78
78,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2008,42,2578426.51,79
79,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2009,11,2017713.8,80
80,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2010,22,10206013.78,81
81,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2006,40,1710100.2,82
82,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2011,21,4257025.87,83
83,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2012,18,1647128.75,84
84,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,21,2013,13,802488.3,85
85,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2003,13,1173000.0,86
86,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2004,9,1805000.0,87
87,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2005,14,1268950.0,88
88,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2006,15,2437213.2,89
89,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2007,13,480375.0,90
90,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2009,7,2754726.19,91
91,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2010,12,1957574.28,92
92,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2008,14,3126776.609,93
93,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2011,15,3008677.03,94
94,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2012,10,2345162.5,95
95,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,22,2013,14,1483823.03,96
96,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2004,76,6446545.15,97
97,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2005,94,7526351.2,98
98,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2006,101,10883607.18,99
99,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2007,109,8850204.55,100
100,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2008,101,11341428.19,101
101,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2009,119,13760618.76,102
102,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2010,119,16340775.46,103
103,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2003,52,5510544.74,104
104,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2011,168,16523774.47,105
105,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2012,125,13880272.54,106
106,CE,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276,23,2013,131,10902055.09,107
107,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2003,16,193091.87,108
108,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2004,14,897143.88,109
109,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2005,10,1451363.86,110
110,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2006,14,289226.4,111
111,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2007,16,1051344.27,112
112,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2008,15,1368408.2,113
113,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2009,10,989317.8,114
114,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2010,11,1645106.0,115
115,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2011,19,1734862.5,116
116,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2012,19,3834778.07,117
117,RN,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333,24,2013,33,8583190.31,118
118,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2003,5,20000.0,119
119,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2004,16,184400.0,120
120,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2005,25,488625.0,121
121,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2006,28,456131.62,122
122,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2007,31,671050.0,123
123,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2008,36,1382416.16,124
124,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2009,16,1258091.75,125
125,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2010,24,1484181.01,126
126,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2011,46,1406920.72,127
127,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2012,18,735570.9,128
128,PB,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266,25,2013,21,266641.33,129
129,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2003,109,9616399.59,130
130,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2005,134,12065535.36,131
131,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2008,139,16898566.09,132
132,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2009,105,24654789.95,133
133,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2010,135,17991286.42,134
134,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2004,128,8109262.763,135
135,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2006,123,18298419.42,136
136,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2007,159,18565149.54,137
137,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2011,129,23580379.02,138
138,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2012,122,18104598.15,139
139,PE,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445,26,2013,111,15610136.43,140
140,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2003,6,162224.0,141
141,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2004,10,849715.14,142
142,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2005,25,682648.75,143
143,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2006,21,1859770.66,144
144,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2007,15,2038906.36,145
145,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2008,16,1477331.0,146
146,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2009,11,159000.0,147
147,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2010,8,698555.08,148
148,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2011,9,1547016.99,149
149,AL,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711,27,2012,7,1178000.0,150
150,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,28,2003,13,1967113.31,151
151,SE,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996,28,2004,15,4230387.47,152
